2022-12-25 17:49:35 INFO  Log:11 - Etkinlik basarili bir sekilde guncellenince gelecek bilgilendirme mesajini kontrol eder.
2022-12-25 17:49:35 INFO  Log:11 - checkUpdatedMessage Passed
2022-12-25 17:49:35 INFO  Log:11 - -----------------------
2022-12-25 17:49:36 INFO  Log:11 - ======== Finish : Event Module Case 7 ========
2022-12-25 17:49:36 INFO  Log:11 - ======== Start : Dashboard Module Case 1 ========
2022-12-25 17:49:37 INFO  Log:11 - checkDashboardPageUrl Started
2022-12-25 17:49:37 INFO  Log:11 - Doğru sayfada olduğumuzu dogrular.
2022-12-25 17:49:37 INFO  Log:11 - checkDashboardPageUrl Passed
2022-12-25 17:49:37 INFO  Log:11 - -----------------------
2022-12-25 17:49:37 INFO  Log:11 - checkSuccessfulLogin Started
2022-12-25 17:49:37 INFO  Log:11 - Basarili giris yapildiginda dashboard sayfasina yönlendirildiğimizi, Hosgeldin mesaji ile kontrol eder.
2022-12-25 17:49:37 INFO  Log:11 - checkSuccessfulLogin Passed
2022-12-25 17:49:37 INFO  Log:11 - -----------------------
2022-12-25 17:49:38 INFO  Log:11 - ======== Finish : Dashboard Module Case 1 ========
2022-12-25 17:49:38 INFO  Log:11 - ======== Start : Dashboard Module Case 2 ========
2022-12-25 17:49:39 INFO  Log:11 - checkLoginFormHeaderText Started
2022-12-25 17:49:39 INFO  Log:11 - Basarisiz giris yapilirsa tekrar login sayfasina yonlendirildigimizi kontrol eder.
2022-12-25 17:49:39 INFO  Log:11 - checkLoginFormHeaderText Passed
2022-12-25 17:49:39 INFO  Log:11 - -----------------------
2022-12-25 17:49:39 INFO  Log:11 - checkLoginPageUrl Started
2022-12-25 17:49:39 INFO  Log:11 - Dogru sayfada olduğumuzu dogrular.
2022-12-25 17:49:39 INFO  Log:11 - checkLoginPageUrl Passed
2022-12-25 17:49:39 INFO  Log:11 - -----------------------
2022-12-25 17:49:40 INFO  Log:11 - ======== Finish : Dashboard Module Case 2 ========
2022-12-25 17:49:40 INFO  Log:11 - ======== Start : Dashboard Module Case 3 ========
2022-12-25 17:49:42 INFO  Log:11 - checkIsThereAnyEvent Started
2022-12-25 17:49:42 INFO  Log:11 - Etkinligin basarili bir sekilde olusturuldugunu kontrol eder.
2022-12-25 17:49:42 INFO  Log:11 - checkIsThereAnyEvent Passed
2022-12-25 17:49:42 INFO  Log:11 - -----------------------
2022-12-25 17:49:42 INFO  Log:11 - checkNotificationMessage Started
2022-12-25 17:49:42 INFO  Log:11 - Eger hic etkinlik yoksa gelecek bilgilendirme mesajini kontrol eder.
2022-12-25 17:49:42 INFO  Log:11 - checkNotificationMessage Passed
2022-12-25 17:49:42 INFO  Log:11 - -----------------------
2022-12-25 17:49:42 INFO  Log:11 - ======== Finish : Dashboard Module Case 3 ========
2022-12-25 17:49:42 INFO  Log:11 - ======== Start : Dashboard Module Case 4 ========
2022-12-25 17:49:44 INFO  Log:11 - checkAmIInEditingEventPage Started
2022-12-25 17:49:44 INFO  Log:11 - Edit butonuna basildiginda, etkinlik bilgileri guncelleme sayfasina gidildigini kontrol eder.
2022-12-25 17:49:45 INFO  Log:11 - checkAmIInEditingEventPage Passed
2022-12-25 17:49:45 INFO  Log:11 - -----------------------
2022-12-25 17:49:45 INFO  Log:11 - ======== Finish : Dashboard Module Case 4 ========
2022-12-25 17:49:45 INFO  Log:11 - ======== Start : Dashboard Module Case 5 ========
2022-12-25 17:49:47 INFO  Log:11 - checkIsThereAnyEvent Started
2022-12-25 17:49:47 INFO  Log:11 - Tum etkinlikler silinirse listede etkinlik gozukmeyecegini kontrol eder.
2022-12-25 17:49:47 INFO  Log:11 - checkIsThereAnyEvent Passed
2022-12-25 17:49:47 INFO  Log:11 - -----------------------
2022-12-25 17:49:47 INFO  Log:11 - checkNotificationMessage Started
2022-12-25 17:49:47 INFO  Log:11 - Eger hic etkinlik yoksa gelecek bilgilendirme mesajini kontrol eder.
2022-12-25 17:49:47 INFO  Log:11 - checkNotificationMessage Passed
2022-12-25 17:49:47 INFO  Log:11 - -----------------------
2022-12-25 17:49:47 INFO  Log:11 - ======== Finish : Dashboard Module Case 5 ========
2022-12-25 17:49:47 INFO  Log:11 - ======== Start : Dashboard Module Case 6 ========
2022-12-25 17:49:49 INFO  Log:11 - checkEventParticipants Started
2022-12-25 17:49:49 INFO  Log:11 - Katilimcilar butonuna tiklayinca, etkinlikteki katilimcilarin gosterildigini kontrol eder.
2022-12-25 17:49:50 INFO  Log:11 - checkEventParticipants Passed
2022-12-25 17:49:50 INFO  Log:11 - -----------------------
2022-12-25 17:49:51 INFO  Log:11 - ======== Finish : Dashboard Module Case 6 ========
